id_met	anno	coverage_End	mean_End	coverage_Ect	mean_Ect	coverage_Mesend	mean_Mesend	base_met	enh_base_met
GSE101000_Hindbrain_E10.5_cpg_meth	all	112	55.7142857142857	1118	28.5	1348	54.4547477744807	71.7847479144105	39.9778103175655
GSE101023_Limb_E10.5_cpg_meth	all	112	52.25	1118	49.9355992844365	1348	35.3071216617211	70.8461379017456	38.8656719244839
GSE101302_Midbrain_E10.5_cpg_meth	all	112	53	1118	26.2853309481217	1348	58.6290801186944	71.4436238592273	40.5236507072941
GSE101322_Heart_E10.5_cpg_meth	all	112	50.7142857142857	1118	49.6985688729875	1348	27.7640949554896	67.8183616925789	37.2122502721869
GSE101360_Forebrain_E10.5_cpg_meth	all	112	56.0535714285714	1118	29.7173524150268	1348	60.1780415430267	72.6267914673421	41.3516935675066
GSE101478_Craniofacial_E10.5_cpg_meth	all	112	52.6517857142857	1118	35.7236135957066	1348	48.7522255192878	71.8011599585984	39.8537045176822
GSE82346_Forebrain_E12.5_cpg_meth	all	112	50.1607142857143	1118	22.6252236135957	1348	59.9087537091988	70.6300993447426	38.39662971543
GSE82351_Stomach_E15.5_cpg_meth	all	112	32.8839285714286	1118	48.5608228980322	1348	30.286350148368	66.6505759962698	34.6607529013132
GSE82355_Forebrain_E15.5_cpg_meth	all	112	52.2589285714286	1118	19.9865831842576	1348	60.7841246290801	69.9395706874051	35.6027093292021
GSE82356_Forebrain_P0_cpg_meth	all	112	47.3928571428572	1118	21.5429338103757	1348	60.459940652819	68.5691625553966	35.1370280651315
GSE82364_Lung_E15.5_cpg_meth	all	112	33.7142857142857	1118	46.2531305903399	1348	26.089762611276	64.2839706188012	32.090102519925
GSE82367_Liver_E11.5_cpg_meth	all	112	40.3928571428571	1118	52.0456171735242	1348	30.2685459940653	65.0441077710525	36.8797440038874
GSE82371_Hindbrain_E16.5_cpg_meth	all	112	52.8303571428572	1118	23.3747763864043	1348	57.1772997032641	69.3124282113158	35.5424918539863
GSE82379_Heart_E16.5_cpg_meth	all	112	41	1118	51.0232558139535	1348	28.6624629080119	63.8244335413167	33.5182360329093
GSE82418_Intestine_E14.5_cpg_meth	all	112	38.3660714285714	1118	48.4883720930233	1348	30.1847181008902	67.4895813993576	35.883525883391
GSE82421_Midbrain_E11.5_cpg_meth	all	112	57.4910714285714	1118	25.1243291592129	1348	57.5445103857567	69.9927102801008	39.6832462835956
GSE82434_Limb_E14.5_cpg_meth	all	112	45.2946428571429	1118	45.7915921288014	1348	33.8575667655786	66.2067025871248	34.6411711188629
GSE82451_Kidney_P0_cpg_meth	all	112	44.5625	1118	45.0187835420394	1348	34.9577151335312	66.4901437026798	33.7229695705815
GSE82456_Liver_E16.5_cpg_meth	all	112	29.4017857142857	1118	44.9338103756708	1348	26.7262611275964	52.8958888836593	30.6731258943634
GSE82465_Forebrain_E13.5_cpg_meth	all	112	55.2946428571429	1118	20.0688729874776	1348	60.8353115727003	70.5360715241609	37.1367831458994
GSE82466_Neural_tube_E12.5_cpg_meth	all	112	54.7321428571429	1118	29.7468694096601	1348	50.1772997032641	70.7236340457394	37.9609840397566
GSE82469_Heart_E13.5_cpg_meth	all	112	40.8571428571429	1118	49.04114490161	1348	24.6157270029674	62.5543972713258	33.1042732201393
GSE82481_Hindbrain_P0_cpg_meth	all	94	43.1808510638298	90	23.7333333333333	96	58.0729166666667		37.0395367943084
GSE82493_Lung_E14.5_cpg_meth	all	112	38.4464285714286	1118	45.8944543828265	1348	25.5727002967359	63.9333956451086	32.5529688456206
GSE82504_Midbrain_E15.5_cpg_meth	all	112	51.3482142857143	1118	20.3568872987478	1348	60.3590504451039	70.3360616590301	36.7596708808014
GSE82505_Intestine_E16.5_cpg_meth	all	112	32.8660714285714	1118	51.8398926654741	1348	30.6750741839763	66.930320906175	35.6191581048346
GSE82510_Hindbrain_E15.5_cpg_meth	all	112	56.3660714285714	1118	22.221824686941	1348	57.4962908011869	70.7595211636271	36.1183733836147
GSE82541_Limb_E12.5_cpg_meth	all	112	48.5178571428572	1118	47.0867620751342	1348	34.4013353115727	68.8183363564032	36.5890323861599
GSE82546_Heart_E12.5_cpg_meth	all	112	41.5535714285714	1118	48.6279069767442	1348	24.826409495549	64.0515833123987	33.8448880784421
GSE82557_Heart_E15.5_cpg_meth	all	112	40.7321428571429	1118	51.0393559928444	1348	28.5155786350148	64.6388739243139	33.6575591545258
GSE82560_Forebrain_E11.5_cpg_meth	all	112	54.5267857142857	1118	24.2728085867621	1348	59.330118694362	70.3283201563155	39.6147871129378
GSE82571_Stomach_P0_cpg_meth	all	112	32.0267857142857	1118	49.4400715563506	1348	31.4547477744807	65.1789801089109	33.8302964437074
GSE82602_Liver_E15.5_cpg_meth	all	112	28.3035714285714	1118	44.7960644007156	1348	25.8976261127596	52.9963985881679	30.6443668250042
GSE82610_Liver_E12.5_cpg_meth	all	112	38.3839285714286	1118	47.1144901610018	1348	27.4814540059347	57.1218029569554	33.0334324548679
GSE82621_Midbrain_E14.5_cpg_meth	all	112	60.2053571428572	1118	19.1556350626118	1348	61.6676557863502	70.0878370059452	37.4306872041784
GSE82632_Intestine_P0_cpg_meth	all	112	27.9464285714286	1118	52.257602862254	1348	28.7440652818991	66.6804592394117	35.387893936257
GSE82658_Heart_P0_cpg_meth	all	112	41.1339285714286	1118	50.494633273703	1348	27.6364985163205	62.4307241165744	32.7068339650073
GSE82661_Hindbrain_E11.5_cpg_meth	all	112	54.2321428571429	1118	28.5840787119857	1348	52.746290801187	70.2989684022282	39.1642163858151
GSE82669_Lung_P0_cpg_meth	all	112	30.0357142857143	1118	48.0187835420394	1348	26.9821958456973	63.3247173977858	32.1394932588431
GSE82673_Forebrain_E14.5_cpg_meth	all	112	53.4107142857143	1118	19.6279069767442	1348	61.0029673590505	69.1877548254344	36.459399249045
GSE82684_Kidney_E16.5_cpg_meth	all	112	47.2857142857143	1118	43.2611806797853	1348	34.4948071216617	66.7472603719342	34.0935026519855
